,Unnamed: 0,q_fl1,qd_fl1,Tau_fl1,q_fl2,qd_fl2,Tau_fl2,q_fl3,qd_fl3,Tau_fl3,q_fr1,qd_fr1,Tau_fr1,q_fr2,qd_fr2,Tau_fr2,q_fr3,qd_fr3,Tau_fr3,q_bl1,qd_bl1,Tau_bl1,q_bl2,qd_bl2,Tau_bl2,q_bl3,qd_bl3,Tau_bl3,q_br1,qd_br1,Tau_br1,q_br2,qd_br2,Tau_br2,q_br3,qd_br3,Tau_br3
0,0,0.0261867251915926,0.0260990462278237,0.0,-0.8603671512478273,-1.437467947351466,-0.0,1.306168645024984,-0.631593439100713,-0.0,-0.0778812088912699,0.0219351639427481,0.0,-0.9856058395398164,2.1247952457923844,-0.0,1.2428696895756175,1.178861752012611,-0.0,-0.1852935473761787,0.0935646763655458,-0.0,0.4920917066378829,-1.9223389793770047,0.0,-1.2685558754025443,-0.6539056319864509,0.0,0.1229289322294478,-0.0491483236067524,-0.0,0.3996711866265698,1.712484114080996,0.0,-1.2126219403605454,-0.0297604297942419,0.0
1,1,0.0261946618484284,0.0353092319580223,0.0,-0.8637232412497822,-1.4741526754450478,-0.0,1.304871716236554,-0.6580304095966252,-0.0,-0.0778755644617644,0.044332274551959,0.0,-0.9801031337641616,2.112758086174669,-0.0,1.24595196281125,1.1661181381536574,-0.0,-0.1850574641437005,0.0936472326149216,-0.0,0.4871377210155199,-1.9116264157521172,0.0,-1.2701995761153009,-0.6549839305247278,0.0,0.1225870084711034,-0.0176302241455036,-0.0,0.4040475928919881,1.710923205440288,0.0,-1.2127917598309903,-0.025154999868396,0.0
2,2,0.0262176052523085,0.0439532663366066,0.0,-0.8671341166647846,-1.5082629652047093,-0.0,1.303511135946546,-0.6838559364831447,-0.0,-0.0778589786007,0.0656229989239183,0.0,-0.9746243935914832,2.101035474089004,-0.0,1.2490158034453689,1.1540696733773714,-0.0,-0.1848213049929652,0.093715803187034,-0.0,0.4822010742695063,-1.9011630686695775,0.0,-1.2718449731828168,-0.6560199945824506,0.0,0.1223030092838133,0.0132602116849019,-0.0,0.4084151843256743,1.7088782710016932,0.0,-1.2129396818984146,-0.0199696673148138,0.0
3,3,0.0262542555532917,0.0519823109149386,0.0,-0.8705987556391778,-1.5396665103689469,-0.0,1.3020893793285913,-0.7090230599330832,-0.0,-0.0778319724492551,0.085635908232977,0.0,-0.9691697908450084,2.0896651248097986,-0.0,1.2520610229823592,1.14280111361005,-0.0,-0.1845850699603586,0.0937716860696079,-0.0,0.4772818643977476,-1.891085467768761,0.0,-1.2734920640320984,-0.6570034218868791,0.0,0.1220715587833211,0.0431007272694511,-0.0,0.4127739331662671,1.706386281318519,0.0,-1.2130670380776238,-0.0142390155247201,0.0
4,4,0.026303312901437,0.0593475272443802,0.0,-0.8741161363193058,-1.568231004676256,-0.0,1.3006089215563217,-0.7334848201192524,-0.0,-0.0777950671486079,0.104199573653486,0.0,-0.963739497347964,2.0786847536114634,-0.0,1.2550874329266082,1.132397214777989,-0.0,-0.1843487590822661,0.0938161792503686,-0.0,0.4723801893981497,-1.881530142689041,0.0,-1.27514084609015,-0.657923810165273,0.0,0.1218872810853709,0.0714690659931307,-0.0,0.4171238116524051,1.7034842069440737,0.0,-1.2131751598834246,-0.00799762788934,0.0
5,5,0.0263634774468031,0.0660000768762934,0.0,-0.8776852368515122,-1.5938241418651329,-0.0,1.299072237803368,-0.7571942572144641,-0.0,-0.0777487838399367,0.121142566359796,0.0,-0.9583336849235774,2.0681320757684105,-0.0,1.258094844782501,1.1229427328074852,-0.0,-0.1841123723950736,0.0938505807170412,-0.0,0.467496147268618,-1.8726336230697929,0.0,-1.2767913167839788,-0.6587707571448922,0.0,0.1217448003057065,0.0979429712409275,-0.0,0.421464792022727,1.7002090184316638,0.0,-1.2132653788306236,-0.0012800877998983,0.0
6,6,0.026433449339449,0.07189112136204,0.0,-0.8813050353821407,-1.616313615674073,-0.0,1.297481803243362,-0.7801044113915296,-0.0,-0.0776936436644197,0.1362934575262581,0.0,-0.9529525253950756,2.0580448065550483,-0.0,1.2610830700544249,1.114522423624834,-0.0,-0.1838759099351667,0.0938761884573508,-0.0,0.4626298360070582,-1.8645324385503896,0.0,-1.278443473540589,-0.6595338605529963,0.0,0.1216387405600717,0.1221001863978282,-0.0,0.4257968465158714,1.6965976863345973,0.0,-1.213339026434027,0.0058790213523799,0.0
7,7,0.0265119287294335,0.0769718222529821,0.0,-0.8849745100575349,-1.6355671198415729,-0.0,1.2958400930499352,-0.8021683228232611,-0.0,-0.0776301677632353,0.149480818327223,0.0,-0.947596190585686,2.0484606612457887,-0.0,1.264051920246765,1.1072210431563332,-0.0,-0.1836393717389311,0.0938943004590225,-0.0,0.457781353611376,-1.8573631187702075,0.0,-1.2800973137869869,-0.6602027181168455,0.0,0.1215637259642104,0.1435184548488196,-0.0,0.4301199473704771,1.6926871812061812,0.0,-1.213397434208441,0.01344511617627,0.0
8,8,0.0265976157668156,0.0811933411004814,0.0,-0.8886926390240387,-1.6514523481061276,-0.0,1.2941495823967186,-0.8233390316824698,-0.0,-0.0775588772775617,0.1605332199370416,0.0,-0.9422648523186352,2.0394173551150425,-0.0,1.2670012068639072,1.101123347328277,-0.0,-0.1834027578427525,0.0939062147097816,-0.0,0.452950798079477,-1.8512621933686189,0.0,-1.2817528349501777,-0.6607669275636993,0.0,0.1215143806338665,0.1617755199788886,-0.0,0.4344340668251826,1.688514473599723,0.0,-1.2134419336686724,0.0213836132805468,0.0
9,9,0.0266892106016541,0.0845068394559,0.0,-0.8924584004279956,-1.663836994206234,-0.0,1.2924127464573445,-0.8435695781419675,-0.0,-0.0774802933485772,0.1692792335300648,0.0,-0.9369586824171507,2.03095260343722,-0.0,1.2699307414102383,1.096314092066964,-0.0,-0.1831660682830166,0.0939132291973532,-0.0,0.4481382674092669,-1.846366191985,0.0,-1.2834100344571666,-0.6612160866208177,0.0,0.1214853286847839,0.1764491251730219,-0.0,0.4387391771186266,1.684116534068531,0.0,-1.2134738563295275,0.0296599292739856,0.0
