,t[s],q_fl1,qd_fl1,Tau_fl1,q_fl2,qd_fl2,Tau_fl2,q_fl3,qd_fl3,Tau_fl3,q_fr1,qd_fr1,Tau_fr1,q_fr2,qd_fr2,Tau_fr2,q_fr3,qd_fr3,Tau_fr3,q_bl1,qd_bl1,Tau_bl1,q_bl2,qd_bl2,Tau_bl2,q_bl3,qd_bl3,Tau_bl3,q_br1,qd_br1,Tau_br1,q_br2,qd_br2,Tau_br2,q_br3,qd_br3,Tau_br3
0,0,0,0,0,-1.20000000030046,-6.54674495768987E-11,3.12539784524312,2.40000000128725,2.47214510694532E-10,-2.03700408725579,0,0,0,-1.20000000030046,-6.54674495768987E-11,3.12539784524312,2.40000000128725,2.47214510694532E-10,-2.03700408725579,0,0,0,1.199999999706,2.3707107834327E-10,-0.67273047350318,-2.39999999933066,7.69833490049079E-10,0.419279236678258,0,0,0,1.199999999706,2.3707107834327E-10,-0.67273047350318,-2.39999999933066,7.69833490049079E-10,0.419279236678258
1,0.0025,0,0,0,-1.19915727256065,0.264391423159666,2.90793399846406,2.40005895945237,0.018554085801531,-1.03700408725579,0,0,0,-1.19915727256065,0.264391423159666,2.90793399846406,2.40005895945237,0.018554085801531,-1.03700408725579,0,0,0,1.1991087091957,-0.279807160442671,0.32726952649682,-2.39995768683513,0.013534354828402,1.41927923667826,0,0,0,1.1991087091957,-0.279807160442671,0.32726952649682,-2.39995768683513,0.013534354828402,1.41927923667826
2,0.005,0,0,0,-1.19759124500138,0.542849542637711,2.88656887233446,2.4002976463899,0.069475033075485,-0.03700408725579,0,0,0,-1.19759124500138,0.542849542637711,2.88656887233446,2.4002976463899,0.069475033075485,-0.03700408725579,0,0,0,1.19732607644953,-0.604843231290678,1.32726952649682,-2.39973785551959,0.061522070997339,2.41927923667826,0,0,0,1.19732607644953,-0.604843231290678,1.32726952649682,-2.39973785551959,0.061522070997339,2.41927923667826
3,0.0075,0,0,0,-1.19548037375915,0.78803868259239,2.26944087298933,2.4004911382166,0.08503086015401,0.96299591274421,0,0,0,-1.19548037375915,0.78803868259239,2.26944087298933,2.4004911382166,0.08503086015401,0.96299591274421,0,0,0,1.19505815872778,-0.860110971074236,2.32726952649682,-2.39959674745043,0.068134684554108,3.41927923667826,0,0,0,1.19505815872778,-0.860110971074236,2.32726952649682,-2.39959674745043,0.068134684554108,3.41927923667826
4,0.01,0,0,0,-1.19299044272819,0.962092520285327,0.588574252471815,2.4004489004394,0.015196263481925,1.96299591274421,0,0,0,-1.19299044272819,0.962092520285327,0.588574252471815,2.4004489004394,0.015196263481925,1.96299591274421,0,0,0,1.19264698186852,-0.962119323191356,3.32726952649682,-2.39971682571411,-0.013611698007907,4.41927923667826,0,0,0,1.19264698186852,-0.962119323191356,3.32726952649682,-2.39971682571411,-0.013611698007907,4.41927923667826
5,0.0125,0,0,0,-1.19020833443849,1.0859719823917,-0.620281564389875,2.40019421453004,-0.080220975248121,2.96299591274421,0,0,0,-1.19020833443849,1.0859719823917,-0.620281564389875,2.40019421453004,-0.080220975248121,2.96299591274421,0,0,0,1.19003694758705,-1.02265161463861,4.32726952649682,-2.39982310705646,-0.052295884406327,5.41927923667826,0,0,0,1.19003694758705,-1.02265161463861,4.32726952649682,-2.39982310705646,-0.052295884406327,5.41927923667826
6,0.015,0,0,0,-1.18719846393355,1.18544608413139,-0.417785543658025,2.39978379793792,-0.147642364301774,3.96299591274421,0,0,0,-1.18719846393355,1.18544608413139,-0.417785543658025,2.39978379793792,-0.147642364301774,3.96299591274421,0,0,0,1.18715480408388,-1.12824701809888,5.32726952649682,-2.39968460690816,0.02654377388354,6.41927923667826,0,0,0,1.18715480408388,-1.12824701809888,5.32726952649682,-2.39968460690816,0.02654377388354,6.41927923667826
7,0.0175,0,0,0,-1.18402651032651,1.25827406573384,-0.181645198684882,2.39919103320745,-0.216705029091169,4.96299591274421,0,0,0,-1.18402651032651,1.25827406573384,-0.181645198684882,2.39919103320745,-0.216705029091169,4.96299591274421,0,0,0,1.18414580876424,-1.19850760588662,6.32726952649682,-2.3994450217525,0.087677079499507,7.41927923667826,0,0,0,1.18414580876424,-1.19850760588662,6.32726952649682,-2.3994450217525,0.087677079499507,7.41927923667826
8,0.02,0,0,0,-1.18063112962117,1.33788227715034,-0.217783388652277,2.39842017319665,-0.289993998495834,5.96299591274421,0,0,0,-1.18063112962117,1.33788227715034,-0.217783388652277,2.39842017319665,-0.289993998495834,5.96299591274421,0,0,0,1.18094258961973,-1.26287097595084,7.32726952649682,-2.39909584774983,0.125964534580847,8.41927923667826,0,0,0,1.18094258961973,-1.26287097595084,7.32726952649682,-2.39909584774983,0.125964534580847,8.41927923667826
9,0.0225,0,0,0,-1.17691644738401,1.45639965218306,-0.204821704371125,2.39748355607357,-0.35766328516286,6.96299591274421,0,0,0,-1.17691644738401,1.45639965218306,-0.204821704371125,2.39748355607357,-0.35766328516286,6.96299591274421,0,0,0,1.17740431045958,-1.38320384637543,8.32726952649682,-2.39855402520093,0.194872051117018,9.41927923667826,0,0,0,1.17740431045958,-1.38320384637543,8.32726952649682,-2.39855402520093,0.194872051117018,9.41927923667826
