, ,t[s],q_fl1,qd_fl1,qdd_fl1,Tau_fl1,q_fl2,qd_fl2,qdd_fl2,Tau_fl2,q_fl3,qd_fl3,qdd_fl3,Tau_fl3,q_fr1,qd_fr1,qdd_fr1,Tau_fr1,q_fr2,qd_fr2,qdd_fr2,Tau_fr2,q_fr3,qd_fr3,qdd_fr3,Tau_fr3,q_bl1,qd_bl1,qdd_bl1,Tau_bl1,q_bl2,qd_bl2,qdd_bl2,Tau_bl2,q_bl3,qd_bl3,qdd_bl3,Tau_bl3,q_br1,qd_br1,qdd_br1,Tau_br1,q_br2,qd_br2,qdd_br2,Tau_br2,q_br3,qd_br3,qdd_br3,Tau_br3
0,0,2.0000000000000013,0.3029613597568182,-0.0222681647762254,0,-3.568404397576358,-0.4202322771637587,-0.0048167091816996,0,-0.0333974243963373,1.024142476977351,0.3466416311521465,0,-1.399964085048809,0.10034946375113,-0.1011940245379484,0,1.3418385337027114,-0.2512216793698226,-0.0658237983208133,0,-1.8176557460723608,1.479639786496999,-0.0935080305118234,0,-2.6681143214156746,0.0976041627288939,-0.2896822518853919,0,1.4704559354998354,0.9573069388416198,-0.1793757857075363,0,-1.743893243081695,-1.346534827530368,0.0807539009363736,0,0.95086819884246,0.3305500298223248,-0.2386899784581415,0,-3.596672493297437,0.4529365652717476,0.2393936901118169,0,-0.0401024370835936,-0.9842787833328268,-0.2271916033393906,0,1.3610994232840796
1,1,2.0040000000000013,0.3028684967178117,-0.0235294801907331,0,-3.566766772589685,-0.4202518799666871,-0.0049267137319782,0,-0.0360007086608485,1.0255758616446768,0.36228048658008,0,-1.4022077102076456,0.099925562663476,-0.1075763336945365,0,1.3422018100704516,-0.2514941149871565,-0.0688757286043054,0,-1.8173318060547208,1.4792482414350718,-0.0993644783988279,0,-2.667412485161898,0.096411501887717,-0.3010511637667877,0,1.4740739098146045,0.9565704256055204,-0.1857402052779968,0,-1.741721138980178,-1.346206940497085,0.0823752709680431,0,0.9515891903837516,0.3295699369732587,-0.2471863474543494,0,-3.5933244479379507,0.453918570614125,0.2475803411338974,0,-0.0410790287608088,-0.9852057088868952,-0.2332632483939067,0,1.3622110151707645
2,2,2.0080000000000013,0.3027705505287707,-0.0248033287271855,0,-3.565122908168409,-0.42027187828948,-0.0050216189299136,0,-0.0387046328622422,1.0270715072323469,0.3778223342157314,0,-1.4045479847765878,0.099476236191729,-0.1139246527507901,0,1.3426211490495228,-0.2517787787012164,-0.0719356723389462,0,-1.816963718370677,1.4788330389868904,-0.1052971751381412,0,-2.6667419722084005,0.0951736036227072,-0.3123447439900373,0,1.4779585691323784,0.9558086424781216,-0.1920442999705765,0,-1.7394392721887806,-1.345872751237523,0.0839366982085377,0,0.952354280328704,0.3285559537537436,-0.2556541155665478,0,-3.5898013681066194,0.4549331829540854,0.2557240616752557,0,-0.0422332005172808,-0.986156457177038,-0.2391839415680066,0,1.363330847559148
3,3,2.0120000000000013,0.302667460428285,-0.0260931814416605,0,-3.563466442201749,-0.4202922055997365,-0.005099473717173,0,-0.0414935539653693,1.0286289955310592,0.3932574209996121,0,-1.4069860130686982,0.0990016152145544,-0.1202406538506951,0,1.3431295735466515,-0.2520757009144049,-0.0750030544787795,0,-1.8165058437077664,1.4783939089358895,-0.1112946876707862,0,-2.6660930843849093,0.0938907751515317,-0.3235609851828413,0,1.482133957937824,0.955021811373932,-0.1982944160276787,0,-1.7370856090958084,-1.3455324658118553,0.085449233144996,0,0.9531482643033848,0.3275082010008404,-0.2640911724685864,0,-3.5861192227265577,0.4559802273716563,0.2638235972589476,0,-0.0434888400642376,-0.9871304724287792,-0.2449692149507343,0,1.364484829798433
4,4,2.0160000000000013,0.3025591571308742,-0.0274007700884001,0,-3.5617942857744254,-0.4203127880688868,-0.0051584929901406,0,-0.0444054438041349,1.0302478792691134,0.4085792703805629,0,-1.4095475002540891,0.0985018301933493,-0.1265239810318352,0,1.343705244555654,-0.2523849021445106,-0.0780748380190175,0,-1.8160086737000736,1.477930620368662,-0.1173477134053445,0,-2.6654725323060404,0.092563330797835,-0.3346982034303134,0,1.4865334837050037,0.954210128191186,-0.2044971144379673,0,-1.7346710225309447,-1.3451862533388883,0.0869215484982892,0,0.953965095796614,0.3264268011157558,-0.2724976513234465,0,-3.5822624058798014,0.4570595259131847,0.2718783030692371,0,-0.0449781356397271,-0.9881272482613398,-0.2506304119844804,0,1.3656098113915172
5,5,2.0200000000000014,0.3024455679571047,-0.0287266780613493,0,-3.5601038281566773,-0.4203335468802873,-0.0051975823784175,0,-0.0473808837345386,1.0319276903987027,0.4237830872056687,0,-1.4122111773979529,0.0979770122630319,-0.1327744997818764,0,1.3443881945026528,-0.2527063975616103,-0.0811501479054392,0,-1.8154207575668029,1.4774429779396212,-0.1234474915632481,0,-2.664870086499994,0.0911915848893953,-0.3457568765638975,0,1.4912045643904055,0.9533737602555328,-0.2106597210442393,0,-1.7321963506842026,-1.3448342497449517,0.0883618352291992,0,0.9548120816914544,0.3253118759753573,-0.2808736854287847,0,-3.5782605688394318,0.4581708803641698,0.2798817924861559,0,-0.046602655268654,-0.9891463116408984,-0.2561748977999253,0,1.3667411640198952
6,6,2.0240000000000014,0.3023266203726904,-0.03007068353547,0,-3.558401978822673,-0.4203543978184406,-0.0052153241065892,0,-0.0504311843660937,1.0336679522450742,0.4388675475569908,0,-1.4149886643578382,0.0974272986662078,-0.1389902830891015,0,1.345191602547603,-0.2530401901399459,-0.0842253042472735,0,-1.8147647275689744,1.4769308152904332,-0.1295872658760994,0,-2.664286954156628,0.0897758526298251,-0.3567366129527591,0,1.496076940530715,0.95251284897687,-0.2167884749449131,0,-1.72967776369466,-1.3444765627897417,0.0897767727719495,0,0.955680004722135,0.3241635400539426,-0.2892216449281472,0,-3.574067160479393,0.4593140752867457,0.2878303571843998,0,-0.0484093764929623,-0.9901872100531676,-0.2616071134371471,0,1.367858413015664
7,7,2.0280000000000014,0.3022022438973819,-0.0314321834546058,0,-3.556670678033522,-0.4203752526972814,-0.0052108466028213,0,-0.0535605305081995,1.0354681878666805,0.4538329783103833,0,-1.4178868139417096,0.0968528356699997,-0.145168972666434,0,1.3460954694728955,-0.2533862727129371,-0.0872980916612187,0,-1.8140284022404072,1.4763939913778028,-0.1357608464813273,0,-2.6637185596622195,0.0883164424285622,-0.3676397238381272,0,1.501207841436318,0.9516275081195384,-0.2228904927925933,0,-1.72710858909401,-1.3441132745866693,0.0911726974465059,0,0.9565801973585244,0.3229819011403252,-0.2975430122123455,0,-3.569763135645231,0.460488869884405,0.2957168873144121,0,-0.0504175934555753,-0.9912494961834364,-0.2669273713914565,0,1.368939108983685
8,8,2.0320000000000014,0.3020723720814124,-0.0328100528719326,0,-3.554950092816688,-0.420396020438737,-0.0051834693776078,0,-0.0567649261910254,1.03732792513744,0.4686808445094256,0,-1.4209047677434807,0.0962537759391348,-0.1513091777332982,0,1.3471459702264523,-0.2537446253838107,-0.0903650376594184,0,-1.813190445431275,1.475832385695246,-0.1419634317505168,0,-2.6631581322486766,0.086813662240608,-0.3784656800290851,0,1.5065304352035065,0.9507178262038803,-0.2289718517336746,0,-1.7244903414370865,-1.3437444443271795,0.0925551524129021,0,0.9575119255853538,0.3217670540754556,-0.3058415196525493,0,-3.565298986806756,0.4616949974975801,0.3035350892522885,0,-0.0526050429683105,-0.9923327245411008,-0.2721361730166978,0,1.369995406882737
9,9,2.0360000000000014,0.3019369409995968,-0.0342037967915404,0,-3.5531831885287373,-0.4204166092204391,-0.005133147464827,0,-0.0600315985918946,1.0392467039602395,0.4834146336039309,0,-1.4240458042583424,0.0956302833259149,-0.1574076939490875,0,1.348321255861985,-0.2541152130930841,-0.0934222599491257,0,-1.8122746160374703,1.4752458938274862,-0.1481912557851281,0,-2.662607181092551,0.0852678127925388,-0.3892169845124871,0,1.5120565573235374,0.949783866352896,-0.2350389829938179,0,-1.721845790346462,-1.3433701091465824,0.0939296450153648,0,0.9584661417354932,0.3205190824896788,-0.3141197230766712,0,-3.5606724011794744,0.4629321634078632,0.311277752355953,0,-0.0549718842553043,-0.9934364399882424,-0.2772302093202042,0,1.3710237003704633
