, ,t[s],q_fl1,qd_fl1,qdd_fl1,Tau_fl1,q_fl2,qd_fl2,qdd_fl2,Tau_fl2,q_fl3,qd_fl3,qdd_fl3,Tau_fl3,q_fr1,qd_fr1,qdd_fr1,Tau_fr1,q_fr2,qd_fr2,qdd_fr2,Tau_fr2,q_fr3,qd_fr3,qdd_fr3,Tau_fr3,q_bl1,qd_bl1,qdd_bl1,Tau_bl1,q_bl2,qd_bl2,qdd_bl2,Tau_bl2,q_bl3,qd_bl3,qdd_bl3,Tau_bl3,q_br1,qd_br1,qdd_br1,Tau_br1,q_br2,qd_br2,qdd_br2,Tau_br2,q_br3,qd_br3,qdd_br3,Tau_br3
0,0,2.0000000000000013,0.0676423469504342,0.1640966681028769,0,-1.968142295801494,-0.4362976095757618,0.0091180902131998,0,-0.4757582862605666,0.8241470027372071,0.0106595861669963,0,-1.0844924501021092,0.010630462252857,0.1565367442307146,0,1.3288471897634893,-0.4498388028003677,-0.044498197121332,0,-1.079820662295104,1.241701183627624,-0.0018937631012397,0,-1.982724489035904,0.1339063199033236,-0.2540431076419003,0,1.7684822928687944,0.6890487221456396,-0.0219717608917777,0,0.294590121817867,-1.382341123058015,0.054041585634656,0,2.2566674432867497,0.1306754038172022,-0.2911407390025678,0,-2.8367144258313037,0.5118622073091097,0.1537824750638405,0,1.173426700926279,-1.3486727584461653,-0.1715161706020306,0,2.849770350840511
1,1,2.0040000000000013,0.0682928743987439,0.1621618877543023,0,-1.9680188685839275,-0.4362632879699976,0.0084207977785418,0,-0.4774022336645544,0.8242161466227095,0.0194709363160841,0,-1.0832997550448444,0.0112451802819035,0.1527504725891995,0,1.3240859487044288,-0.4500097823812436,-0.0421576436309457,0,-1.0834131431174876,1.2416384323087102,-0.0202751287421986,0,-1.9830979588871045,0.1328662598964486,-0.2620162961162776,0,1.7693693291635184,0.6889566863078709,-0.0233704564312454,0,0.2957024313193732,-1.3821332821630132,0.0512720024212503,0,2.255221349750035,0.1294890002416392,-0.2984365063742684,0,-2.833185786392916,0.5125014330464092,0.1617932250672881,0,1.1756973178669676,-1.349371560088248,-0.1757483971515298,0,2.851930782996539
2,2,2.0080000000000013,0.068935616892773,0.1602120144799522,0,-1.967885857485768,-0.4362316562682783,0.0077561388868673,0,-0.4791710280443311,0.824320079368589,0.0281313727523052,0,-1.0821904867078336,0.0118448344491403,0.1489913483794168,0,1.319312821604189,-0.4501715369045162,-0.0398640059973008,0,-1.0869786985627543,1.2415026542092995,-0.0384868038397723,0,-1.983419811461801,0.1317947585049705,-0.2698409555009409,0,1.7705234801949756,0.688859257945149,-0.0247024121248767,0,0.2969365767075086,-1.3819368547936834,0.0483908777838434,0,2.2538957435692906,0.1282738380865191,-0.3055925378798439,0,-2.829584647068158,0.5131723104859547,0.1696758382365396,0,1.177834396279149,-1.350086935786403,-0.1798652231358905,0,2.854146988781354
3,3,2.0120000000000013,0.0695705006091642,0.1582426955928389,0,-1.9677312342851496,-0.4362025981881646,0.0071193582419231,0,-0.4810096305682673,0.8244582220552857,0.0366492056618931,0,-1.0811451956710123,0.0124295261516828,0.1452571110589725,0,1.3146121279688687,-0.4503242869934508,-0.0376280530471807,0,-1.0905057147240778,1.241294690472639,-0.0564752056159521,0,-1.983692186919952,0.1306924321128568,-0.277509748354483,0,1.771888194484045,0.6887566681250639,-0.0259795140256749,0,0.298195401980881,-1.3817522463269118,0.0454119197983395,0,2.2526393427266025,0.1270304928139431,-0.3126033804574311,0,-2.825780524806654,0.5138743215037591,0.1774283586569444,0,1.17994084537805,-1.3508184790032027,-0.183884618663456,0,2.856466174979362
4,4,2.0160000000000013,0.0701974397976384,0.1562513267225059,0,-1.96764354405014,-0.4361760142313409,0.0065064356299001,0,-0.4829504188816367,0.8246300333187524,0.0450341614773654,0,-1.0801796696537165,0.012999355131059,0.1415478412584359,0,1.30997010480913,-0.4504682885841553,-0.0354579711914425,0,-1.094044705759199,1.2410155770085705,-0.0741932967005106,0,-1.983941961559168,0.1295599174234859,-0.2850182616138365,0,1.7735044002025262,0.6886490936187375,-0.0272158517704664,0,0.2995498605651835,-1.3815798030081865,0.0423502533174135,0,2.25149093524742,0.1257595626584349,-0.3194632895768418,0,-2.8219105938547813,0.514606938672514,0.1850483207755127,0,1.181830405963281,-1.3515658378909874,-0.1878188788935325,0,2.8587984198748404
5,5,2.0200000000000014,0.0708163369390514,0.1542348518397036,0,-1.9675344407887492,-0.4361518221532042,0.0059129961945814,0,-0.4849884305331128,0.8248350110213517,0.0532960253451952,0,-1.0792965380618451,0.0135544211713946,0.1378635052579525,0,1.305331673441433,-0.4506038232249548,-0.033359578315002,0,-1.097430511314967,1.2406665167845554,-0.0916010576529318,0,-1.984102765694852,0.1283978727609971,-0.2923607722194473,0,1.7753136165661516,0.6885366627393013,-0.0284229443535935,0,0.3009535771896852,-1.3814198069814303,0.0392221614529847,0,2.2504230534844414,0.1244616612570097,-0.3261689220229174,0,-2.817909542783083,0.5153696135075331,0.1925296361823423,0,1.1836925794668904,-1.3523287020826376,-0.191677753698846,0,2.8612224106619824
6,6,2.0240000000000014,0.0714270861891363,0.1521914474030211,0,-1.967448813579291,-0.4361299549398437,0.005335399890467,0,-0.4870412033151949,0.8250726932469763,0.0614449484725159,0,-1.0784571331771529,0.0140948197915087,0.1342027013196855,0,1.300769263481632,-0.4507311836005411,-0.0313347390156292,0,-1.1008221092539423,1.240248852225209,-0.1086653383611196,0,-1.984243435432234,0.1272069716097102,-0.2995340817506578,0,1.777399738372041,0.6884194540356532,-0.0296135050683393,0,0.3024419450152416,-1.381272472967987,0.0360446690017943,0,2.2494591725772177,0.1231374161406396,-0.3327167989538471,0,-2.813839460272328,0.5161617850128682,0.1998700609261992,0,1.1853837212197162,-1.3531067910322123,-0.1954679944436161,0,2.863669871941179
7,7,2.0280000000000014,0.0720295748947881,0.1501194374998928,0,-1.9674172221037836,-0.4361103582887695,0.0047706176735571,0,-0.4891354841055941,0.8253426592521309,0.0694912360775427,0,-1.0776774244547696,0.0146206462609956,0.1305657351478417,0,1.296323781887246,-0.450850670743722,-0.0293855494360733,0,-1.104132237301213,1.2397640391840803,-0.1253593387156515,0,-1.984326834154988,0.1259879053694371,-0.306533322197685,0,1.7796349134566125,0.6882975015318284,-0.0307981852266624,0,0.3039584874793011,-1.3811379481806847,0.0328345831257526,0,2.248562215564262,0.1217874646782007,-0.3391047293519105,0,-2.8095854614053266,0.5169828710365292,0.2070634093424159,0,1.187007332384487,-1.3538998424398003,-0.1991934610565005,0,2.866187827401327
8,8,2.0320000000000014,0.0726236814425291,0.148016401398068,0,-1.9673293990558225,-0.4360929910353065,0.0042152969114272,0,-0.4912939489953398,0.8256445296326467,0.07744523659086,0,-1.07696857789925,0.0151319953112351,0.1269523141590334,0,1.2918791333738822,-0.4509625868937315,-0.0275117656073253,0,-1.1074480826894617,1.2392136230520991,-0.1416621198875227,0,-1.9843918417567152,0.1247413755289669,-0.313356666160869,0,1.7820846080086508,0.6881707932412463,-0.0319887215727298,0,0.3055089053519945,-1.3810163115145848,0.0296090507043468,0,2.2477420216758284,0.1204124583851435,-0.3453288086929941,0,-2.805233014381741,0.5178322719178767,0.2141058592782445,0,1.1884418886074108,-1.354707601932447,-0.2028555682091347,0,2.8687154729518234
9,9,2.0360000000000014,0.0732092799373422,0.1458816551116225,0,-1.96725664966021,-0.4360778225623104,0.0036670229908971,0,-0.4934322970155361,0.8259779618153473,0.0853157703652201,0,-1.0762906029188866,0.015628955576493,0.1233605556952052,0,1.2875139585769828,-0.4510672294167158,-0.0257118582744016,0,-1.110700582726179,1.238599212198347,-0.1575596071953365,0,-1.9844117638751144,0.1234680946594541,-0.3200010744135423,0,1.7847963868850003,0.6880392753974341,-0.0331951470366834,0,0.307144198860053,-1.3809075757345306,0.0263843798942401,0,2.247024341897855,0.1190130573468637,-0.351387398404061,0,-2.8008253666931933,0.5187093665530652,0.2209916231607554,0,1.1897663880934282,-1.3555298169318013,-0.2064544675220424,0,2.8712786484486816
