t[s],q_fl1,q_fl2,q_fl3,q_fr1,q_fr2,q_fr3,q_bl1,q_bl2,q_bl3,q_br1,q_br2,q_br3,qd_fl1,qd_fl2,qd_fl3,qd_fr1,qd_fr2,qd_fr3,qd_bl1,qd_bl2,qd_bl3,qd_br1,qd_br2,qd_br3,qdd_fl1,qdd_fl2,qdd_fl3,qdd_fr1,qdd_fr2,qdd_fr3,qdd_bl1,qdd_bl2,qdd_bl3,qdd_br1,qdd_br2,qdd_br3,Tau_fl1,Tau_fl2,Tau_fl3,Tau_fr1,Tau_fr2,Tau_fr3,Tau_bl1,Tau_bl2,Tau_bl3,Tau_br1,Tau_br2,Tau_br3,,,,,,,,,,,,,,,,,,,
0,0.166,-0.525,1.1565,-0.166,-0.525,1.1565,-0.166,0.542,-1.159,0.166,0.542,-1.159,0,0,0,0,0,0,0,0,0,0,0,0,0.004616754898564,-0.016806638984235,0.072960913404586,-0.004042533769621,-0.016914682467473,0.073036197924012,-0.003927952543734,0.011450403733079,-0.060596098490351,0.003221429665075,0.011664943674646,-0.060900763242898,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,5.2081,3.17636,2.67209,-5.20808,3.17615,2.67194,0.344873,3.32717,-0.135309,-0.35522,3.30806,-0.135027
0.0025,0.166000115579178,-0.525000425638412,1.1565018267683,-0.166000101192527,-0.525000428344452,1.15650182866362,-0.166000098169369,0.542000290161254,-1.1590015142147,0.166000080477119,0.542000295528213,-1.15900152184115,1.91001626324571E-05,-7.02770743397095E-05,0.000301882266025,-1.6722842354883E-05,-7.07242379568796E-05,0.00030219533705,-1.62252481847324E-05,4.79067191849045E-05,-0.000250270068924,1.33015879400952E-05,4.87936713881366E-05,-0.000251530366028,0.002702403999448,-0.009640126201048,0.042698824855199,-0.002366734138696,-0.009703322395761,0.042742465599103,-0.002305909461321,0.006560785885094,-0.035582365571142,0.001892530580198,0.006686531031273,-0.03576073544875,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,,,,,,,,,,,,
0.005,0.166000231055029,-0.525000847218094,1.1565036517455,-0.16600020230308,-0.525000852626808,1.15650365552644,-0.166000196375947,0.542000577428864,-1.1590030291815,0.16600016101089,0.5420005881609,-1.15900304442802,3.25496318789956E-05,-0.000119395261359,0.000514438068006,-2.84991486776032E-05,-0.000120157208668,0.000514970794081,-2.7662799053129E-05,8.13768514304259E-05,-0.000426708708605,2.26807740814164E-05,8.28886585474896E-05,-0.000428856510721,0.001352796471101,-0.004627059863594,0.021365765187842,-0.001185207069855,-0.004658652576484,0.021387184707568,-0.001161025860315,0.00314162615029,-0.017924880620135,0.000954262408845,0.003204747371893,-0.018014218403001,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,5.94565824789662,6.19107955886771,3.63681615856827,-5.94667407582191,6.20135723466056,3.63662434692233,5.57585410408292,6.81300083764446,1.58061385831456,-5.57619990529866,6.76424978233489,1.57026213209211
0.0075,0.166000346422239,-0.525001265354704,1.15650547487278,-0.166000303325438,-0.525001273462821,1.15650548053099,-0.166000294593364,0.542000862242135,-1.15900454446,0.166000241574958,0.542000878336728,-1.15900456731996,4.12661724324452E-05,-0.000150832415159,0.000652177119495,-3.61322150855734E-05,-0.000151798281214,0.000652851348881,-3.50888317542953E-05,0.000102784567293,-0.000541283240209,2.87731473447169E-05,0.00010470167562,-0.000544006308161,0.000476208433513,-0.001413653080703,0.007511350274861,-0.000417684278927,-0.001424733700846,0.007518431762961,-0.00041594165341,0.000951225099367,-0.006431218306835,0.000343323851002,0.000973645142359,-0.00646273414088,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,,,,,,,,,,,,
0.01,0.16600046167549,-0.525001680663898,1.15650729609134,-0.166000404253377,-0.525001691468247,1.15650730361979,-0.166000392795254,0.542001145040373,-1.15900605960985,0.166000322142967,0.542001166494367,-1.15900609007632,4.61675489856361E-05,-0.000168066389842,0.000729609134046,-4.0425337696206E-05,-0.000169146824675,0.00073036197924,-3.92795254373368E-05,0.000114504037331,-0.000605960984904,3.22142966507499E-05,0.000116649436746,-0.000609007632429,-1.90839933225107E-05,0.000353881038791,-0.000314804011396,1.61025182592311E-05,0.000354373539949,-0.000315716721161,6.70324669727051E-06,-0.00025211669697,9.10466992536385E-05,-3.58639334763211E-06,-0.000252723211474,9.21953023862443E-05,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,,,,,,,,,,,,
0.0125,0.166000576809466,-0.525002093761337,1.15650911534238,-0.166000505080676,-0.525002107258838,1.15650912473536,-0.166000490955249,0.542001426262882,-1.15900757419065,0.16600040268856,0.542001453072487,-1.15900761225647,4.81715262313982E-05,-0.000174575039512,0.000761243825212,-4.21818126269138E-05,-0.000175702208131,0.000762027662946,-4.1011059251359E-05,0.000118909432099,-0.000632709263854,3.36398109202688E-05,0.000121148656069,-0.000635888357606,-0.000224804689415,0.001029329386057,-0.003563081798583,0.000196421605876,0.001034608454697,-0.003567184231245,0.000184268927312,-0.000710098668019,0.002834339728628,-0.000149769624219,-0.000720305243753,0.002849047891571,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,,,,,,,,,,,,
0.015,0.16600069181885,-0.525002505262677,1.15651093256708,-0.166000605801111,-0.525002521450347,1.15651094382023,-0.166000589046981,0.542001706348965,-1.15900908776203,0.166000483185383,0.542001738509755,-1.15900913341975,4.81958688625614E-05,-0.000173836218269,0.000761590906546,-4.22049359951093E-05,-0.000174963800663,0.000762373377786,-4.10596123454673E-05,0.000118374922156,-0.000633495398228,3.36852790740269E-05,0.00012061604773,-0.000636676357774,-0.000232677534773,0.000966478852262,-0.003683867214353,0.000203541268095,0.000971910352195,-0.003687894253734,0.000194115475738,-0.000664420243077,0.002991086111784,-0.000158527141627,-0.000675048508623,0.003006301591446,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,,,,,,,,,,,,
0.0175,0.166000806698327,-0.525002915783576,1.15651274770665,-0.166000706408461,-0.52500293465853,1.1565127608169,-0.166000687044082,0.542001985737929,-1.15901059988362,0.16600056360708,0.542002023244841,-1.15901065312551,4.71583415719557E-05,-0.000169327780215,0.000745160091601,-4.1298003918205E-05,-0.000170430971351,0.000745924101551,-4.02013638687672E-05,0.000115274678058,-0.000620286709192,3.29862900327774E-05,0.00011746832587,-0.000623399507013,-0.000134426409405,0.000519116328575,-0.00212754438636,0.000117729789088,0.000522218541238,-0.002129770275074,0.000113602979281,-0.000356780851442,0.001753711179216,-9.31602455882208E-05,-0.000362900560229,0.001762434366785,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,,,,,,,,,,,,
0.02,0.16600092144258,-0.525003325939693,1.15651456070228,-0.166000806896502,-0.52500334749914,1.15651457566791,-0.166000784920184,0.542002264869077,-1.15901211011503,0.166000643927294,0.542002307716414,-1.15901217093312,4.5976709052411E-05,-0.000164527579454,0.000726461093932,-4.02643125136137E-05,-0.000165603089275,0.000727204812029,-3.92124929703641E-05,0.000111982870361,-0.000605050517911,3.21784327172736E-05,0.000114122204632,-0.000608085679405,-2.17751933178079E-05,4.10287061640702E-05,-0.000344497442256,1.92554530258349E-05,4.14723306221276E-05,-0.000344735781709,2.00915252435152E-05,-2.88799224108516E-05,0.000314640261422,-1.6970236117686E-05,-2.98089527177581E-05,0.00031592418236,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,,,,,,,,,,,,
0.0225,0.166001036047404,-0.525003736219859,1.15651637150757,-0.166000907260309,-0.525003760461084,1.15651638832792,-0.166000882654369,0.542002544091217,-1.1590136181069,0.166000724125113,0.542002592272777,-1.15901368649299,4.53749006307854E-05,-0.000162165830416,0.000716938604785,-3.97375310552593E-05,-0.000163227335251,0.000717672211654,-3.87056976989901E-05,0.00011036289863,-0.000597234254328,3.17635246612112E-05,0.000112474649818,-0.000600230067085,3.29249487247115E-05,-0.000189997464148,0.000521270738728,-2.85635165556788E-05,-0.00019084436088,0.000521994961735,-2.53538021481553E-05,0.000129542435677,-0.000384803179065,2.00656665369458E-05,0.00013113453014,-0.00038713139018,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211
