t[s],q_fl1,q_fl2,q_fl3,q_fr1,q_fr2,q_fr3,q_bl1,q_bl2,q_bl3,q_br1,q_br2,q_br3,qd_fl1,qd_fl2,qd_fl3,qd_fr1,qd_fr2,qd_fr3,qd_bl1,qd_bl2,qd_bl3,qd_br1,qd_br2,qd_br3,qdd_fl1,qdd_fl2,qdd_fl3,qdd_fr1,qdd_fr2,qdd_fr3,qdd_bl1,qdd_bl2,qdd_bl3,qdd_br1,qdd_br2,qdd_br3,Tau_fl1,Tau_fl2,Tau_fl3,Tau_fr1,Tau_fr2,Tau_fr3,Tau_bl1,Tau_bl2,Tau_bl3,Tau_br1,Tau_br2,Tau_br3
0,0.166,-0.525,1.1565,-0.166,-0.525,1.1565,-0.166,0.542,-1.159,0.166,0.542,-1.159,0,0,0,0,0,0,0,0,0,0,0,0,0.005259643094149,0.003623606242513,0.082652968477305,-0.004711560528676,0.003535020973004,0.082672037209704,-0.005373199066128,-0.002119581764191,-0.085050686084287,0.004681572918969,-0.00191569002277,-0.085318748444479,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
0.0025,0.16600013171075,-0.524999909251765,1.15650206979862,-0.166000117985638,-0.524999911470117,1.15650207027616,-0.16600013455456,0.541999946917208,-1.15900212984582,0.166000117234847,0.541999952023087,-1.15900213655868,2.17653173869019E-05,1.49962794468337E-05,0.000342036126037,-1.94972299559628E-05,1.46296945884384E-05,0.000342115040094,-2.22352609693916E-05,-8.7720162578125E-06,-0.000351959011889,1.93731625758019E-05,-7.92826504023591E-06,-0.000353068317963,0.00307725557673,0.002119765039591,0.048356754414639,-0.002756596032788,0.002067937436486,0.048367909847834,-0.003143686284895,-0.001239894818365,-0.049759404523054,0.002739044479016,-0.001120607005411,-0.04991623515314,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
0.005,0.166000263275018,-0.524999818608959,1.15650413727998,-0.166000235840166,-0.524999823043183,1.15650413823451,-0.166000268959363,0.541999893896607,-1.15900425730484,0.166000234339318,0.541999904102638,-1.15900427072302,3.70887150127968E-05,2.55535548025989E-05,0.00058283747258,-3.32238422329747E-05,2.49288855084919E-05,0.000582971942401,-3.78894989636329E-05,-1.49473926837608E-05,-0.000599746026813,3.30124159708156E-05,-1.350962219302E-05,-0.000601636307675,0.001539061657447,0.001059826870669,0.02418407769683,-0.001378694516313,0.00103390684749,0.024189655670082,-0.001572277428544,-0.000619873394519,-0.024885383768324,0.001369908105495,-0.000560216163634,-0.024963816000429,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
0.0075,0.166000394692854,-0.524999728071518,1.15650620244556,-0.166000353563623,-0.524999734719133,1.15650620387653,-0.166000403214461,0.541999840938159,-1.1590063823786,0.166000351313453,0.54199985623862,-1.15900640249457,4.70168628676662E-05,3.23930683633478E-05,0.000738852504026,-4.21174347151899E-05,3.16011861068097E-05,0.000739022966532,-4.80319851413768E-05,-1.89480271783062E-05,-0.000760286743541,4.18493936778437E-05,-1.71253933062189E-05,-0.000762683014661,0.00054039454009,0.000371667506504,0.00849009184858,-0.000484096395425,0.000362567869876,0.00849204868024,-0.000552045591308,-0.000217327703317,-0.008736053909027,0.000481000657759,-0.000196385313884,-0.008763586398818,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
0.01,0.166000525964309,-0.524999637639376,1.15650826529685,-0.166000471156053,-0.524999646497903,1.15650826720372,-0.166000537319907,0.541999788041824,-1.15900850506861,0.166000468157292,0.541999808430998,-1.15900853187484,5.25964309414917E-05,3.62360624251323E-05,0.000826529684773,-4.71156052867627E-05,3.53502097300407E-05,0.000826720372097,-5.37319906612765E-05,-2.11958176419102E-05,-0.000850506860843,4.68157291896887E-05,-1.91569002276992E-05,-0.000853187484445,-2.34125715508071E-05,-1.68372821462981E-05,-0.000370049605408,2.09579137049332E-05,-1.64408324963006E-05,-0.000370137117898,2.39361325782284E-05,9.93204457699903E-06,0.000381154965908,-2.0841004840122E-05,9.01772739325679E-06,0.000382358239222,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
0.0125,0.166000657089437,-0.524999547312466,1.15651032583533,-0.166000588617495,-0.524999558379427,1.15651032821755,-0.166000671275751,0.541999735207564,-1.1590106253764,0.166000584870874,0.541999760679736,-1.15901065886538,5.48740892242547E-05,3.78037792840047E-05,0.000862317479218,-4.91559518318473E-05,3.68795697248339E-05,0.000862516418707,-5.60587866819851E-05,-2.21126619750343E-05,-0.000887332077488,4.8843055999153E-05,-1.99854648053276E-05,-0.000890128762552,-0.000257026473684,-0.000177811724524,-0.004041193140432,0.000230227994905,-0.000173480595767,-0.00404212772054,0.000262594648879,0.000104095638497,0.004158812767551,-0.000228780022951,9.41251437536788E-05,0.004171922501218,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
0.015,0.166000788068287,-0.524999457090724,1.15651238406248,-0.166000705947992,-0.524999470363643,1.15651238691951,-0.166000805082047,0.541999682435341,-1.1590127433035,0.16600070145424,0.5419997129848,-1.15901278346771,5.48965077059366E-05,3.78174612360169E-05,0.00086266435176,-4.91760722345978E-05,3.68928794378385E-05,0.000862863365974,-5.60816443621555E-05,-2.21204580781397E-05,-0.000887688092247,4.88630075990393E-05,-1.99924088869705E-05,-0.000890485894506,-0.00026511396252,-0.000183380049872,-0.004168185231791,0.000237473432003,-0.000178912756078,-0.004169149123893,0.00027085686336,0.000107352867778,0.004289489406974,-0.000235979537223,9.70691187515848E-05,0.004303010974701,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
0.0175,0.166000918900911,-0.524999366974084,1.15651443997979,-0.166000823147585,-0.524999382450485,1.15651444331107,-0.166000938738846,0.541999629725116,-1.15901485885143,0.16600081790743,0.541999665346156,-1.15901490568336,5.37103563765191E-05,3.69983505772211E-05,0.000844018766794,-4.81135643791684E-05,3.60937522157034E-05,0.000844213473507,-5.48698348604409E-05,-2.16411038516879E-05,-0.000868500603889,4.78072174821499E-05,-1.95590543204947E-05,-0.000871237925831,-0.000152341834268,-0.000105666487432,-0.00239587235478,0.000136453808827,-0.000103098649567,-0.002396427324165,0.000155649681785,6.18935217568461E-05,0.002465754795248,-0.000135602688303,5.59818359417911E-05,0.002473528247199,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
0.02,0.166001049587362,-0.52499927696248,1.15651649358874,-0.166000940216314,-0.524999294639889,1.15651649739373,-0.1660010722462,0.541999577076852,-1.15901697202172,0.166000934230483,0.541999617763768,-1.15901702551387,5.23623052259836E-05,3.60676896036693E-05,0.000822829188719,-4.69060261497134E-05,3.51858014050776E-05,0.000823019000918,-5.34926293354943E-05,-2.10964971961403E-05,-0.000846695311184,4.66073191412875E-05,-1.90667229537667E-05,-0.000849363902053,-2.33768851387595E-05,-1.6795266446934E-05,-0.000369100984699,2.09287092047816E-05,-1.63996123774268E-05,-0.000369188317563,2.39000099213627E-05,9.9073897672497E-06,0.000380178843443,-2.08126168388389E-05,8.99547887911467E-06,0.000381378906241,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
0.0225,0.166001180127694,-0.524999187055846,1.1565185448908,-0.166001057154226,-0.52499920693179,1.15651854916896,-0.166001205604166,0.541999524490508,-1.1590190828159,0.166001050423444,0.541999570237602,-1.15901914296075,5.16778372780976E-05,3.55943041810427E-05,0.000812068112332,-4.6292918116058E-05,3.47239493537143E-05,0.000812255436196,-5.27933358062786E-05,-2.08193784964309E-05,-0.000835621091814,4.59980691876723E-05,-1.88161538490798E-05,-0.00083825477411,3.92327637209915E-05,2.63510266414548E-05,0.000614879364493,-3.51559927306631E-05,2.56921191985078E-05,0.000615019063224,-4.00615380773724E-05,-1.53314902156019E-05,-0.000632350647063,3.49152025174668E-05,-1.38160472267405E-05,-0.000634341920186,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
